CNPJ;NOME;ENDEREÇO;COMPLEMENTO;BAIRRO;MUNICÍPIO;UF;PRODUTO;VALOR VENDA;DATA CADASTRO
00593430000245;AUTO POSTO BRINATI;LINHA SME 02,S/N;KM 72 - LOTE 01, QUADRA 01 - NÚCLEO SANTA MARIA;ZONA RURAL;MACHADINHO D'OESTE;RO;Gasolina;4,8;06/08/2018 18:01
00593430000245;AUTO POSTO BRINATI;LINHA SME 02,S/N;KM 72 - LOTE 01, QUADRA 01 - NÚCLEO SANTA MARIA;ZONA RURAL;MACHADINHO D'OESTE;RO;Diesel S500;3,81;06/08/2018 18:01
00860197000139;POSTO NOSSA SENHORA DA CONCEICAO;RUA EDUARDO SANTOS PEREIRA,601;;JARDIM BRASIL;CAMPO GRANDE;MS;Gasolina;3,998;23/07/2018 15:05
00860197000139;POSTO NOSSA SENHORA DA CONCEICAO;RUA EDUARDO SANTOS PEREIRA,601;;JARDIM BRASIL;CAMPO GRANDE;MS;Etanol;2,998;23/07/2018 15:05
00860197000139;POSTO NOSSA SENHORA DA CONCEICAO;RUA EDUARDO SANTOS PEREIRA,601;;JARDIM BRASIL;CAMPO GRANDE;MS;Diesel S500;3,399;23/07/2018 15:05
00860197000139;POSTO NOSSA SENHORA DA CONCEICAO;RUA EDUARDO SANTOS PEREIRA,601;;JARDIM BRASIL;CAMPO GRANDE;MS;Diesel S10;3,499;23/07/2018 15:05
00976256000139;CEU 070 COMBUSTIVEIS LTDA; LOTE 499 GLEBA 04 PROJ INTEG,S/N;ALEXANDRE GUSMAO;CEILANDIA;BRASILIA;DF;Gasolina;4,197;16/08/2018 14:49
00976256000139;CEU 070 COMBUSTIVEIS LTDA; LOTE 499 GLEBA 04 PROJ INTEG,S/N;ALEXANDRE GUSMAO;CEILANDIA;BRASILIA;DF;Diesel S500;3,439;05/07/2018 14:51
00976256000139;CEU 070 COMBUSTIVEIS LTDA; LOTE 499 GLEBA 04 PROJ INTEG,S/N;ALEXANDRE GUSMAO;CEILANDIA;BRASILIA;DF;Diesel S10;3,539;05/07/2018 14:51
00976256000139;CEU 070 COMBUSTIVEIS LTDA; LOTE 499 GLEBA 04 PROJ INTEG,S/N;ALEXANDRE GUSMAO;CEILANDIA;BRASILIA;DF;Etanol;2,997;14/08/2018 16:25
01109449000155;RODOCAMP AUTO SERVICE LTDA;AVENIDA MERCEDES BENZ,01;GLEBA 1                   QT 8907;DISTRITO INDUSTRIAL;CAMPINAS;SP;Gasolina;4,499;11/09/2018 11:16
01109449000155;RODOCAMP AUTO SERVICE LTDA;AVENIDA MERCEDES BENZ,01;GLEBA 1                   QT 8907;DISTRITO INDUSTRIAL;CAMPINAS;SP;Etanol;2,799;11/09/2018 11:16
01109449000155;RODOCAMP AUTO SERVICE LTDA;AVENIDA MERCEDES BENZ,01;GLEBA 1                   QT 8907;DISTRITO INDUSTRIAL;CAMPINAS;SP;GNV;2,299;20/06/2018 11:57
01109449000155;RODOCAMP AUTO SERVICE LTDA;AVENIDA MERCEDES BENZ,01;GLEBA 1                   QT 8907;DISTRITO INDUSTRIAL;CAMPINAS;SP;Diesel S500;3,699;11/09/2018 11:16
01109449000155;RODOCAMP AUTO SERVICE LTDA;AVENIDA MERCEDES BENZ,01;GLEBA 1                   QT 8907;DISTRITO INDUSTRIAL;CAMPINAS;SP;Diesel S10;3,799;11/09/2018 11:16
01138114000165;POSTO JK;RODOVIA BR 040 KM 102,S N;;;CRISTALINA;GO;Gasolina;4,99;22/09/2018 11:46
01138114000165;POSTO JK;RODOVIA BR 040 KM 102,S N;;;CRISTALINA;GO;Etanol;2,98;22/09/2018 11:46
01138114000165;POSTO JK;RODOVIA BR 040 KM 102,S N;;;CRISTALINA;GO;Diesel S500;3,71;19/09/2018 10:06
01138114000165;POSTO JK;RODOVIA BR 040 KM 102,S N;;;CRISTALINA;GO;Diesel S10;3,76;19/09/2018 10:03
01182484000108;POSTO CHAPARRAL;AVENIDA LINO SAMPAIO,83;;SAMPAIO;PIRES DO RIO;GO;Gasolina;4,72;10/08/2018 17:08
01182484000108;POSTO CHAPARRAL;AVENIDA LINO SAMPAIO,83;;SAMPAIO;PIRES DO RIO;GO;Etanol;2,99;10/08/2018 17:08
01182484000108;POSTO CHAPARRAL;AVENIDA LINO SAMPAIO,83;;SAMPAIO;PIRES DO RIO;GO;Diesel S500;3,49;10/08/2018 17:08
01182484000108;POSTO CHAPARRAL;AVENIDA LINO SAMPAIO,83;;SAMPAIO;PIRES DO RIO;GO;Diesel S10;3,59;10/08/2018 17:08
01416988000137;POSTO 10;RODOVIA BR 343 KM 10,S/N;;RODOVIA;TERESINA;PI;Gasolina;4,649;17/09/2018 08:59
01416988000137;POSTO 10;RODOVIA BR 343 KM 10,S/N;;RODOVIA;TERESINA;PI;Diesel S500;3,559;17/09/2018 08:59
